x,y,lon,lat
2338.3790041777,5147.3036211727,12.4741172786,41.9094514391
3626.3631615586,3825.3781337098,12.4756032224,41.9105133574
4848.251044566,1746.0250696443,12.476804852,41.9121580983
9317.7883008356,3979.0073119818,12.481487989,41.9103137501
